timestamp	step	loss
1651061755599	0	2.2226791381835938
1651061758069	1	2.1012797355651855
1651061759718	2	1.9526982307434082
1651061761580	3	1.7987914085388184
1651061763238	4	1.6854779720306396
1651061765279	5	1.6157634258270264
1651061767403	6	1.4738556146621704
1651061768917	7	1.4205478429794312
1651061771025	8	1.278024673461914
1651061773049	9	1.2546885013580322
1651061775017	10	1.1450997591018677
1651061776984	11	1.1317245960235596
1651061778872	12	1.0568830966949463
1651061781261	13	1.0350255966186523
1651061782967	14	0.9756642580032349
